Contabilidad Regional de España - Revisión Estadística 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB per cápita,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad: Euros,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comunidad Autónoma,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023 (P),,,,2024 (A),,
,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual
Araba/Álava,38711,1.4917533718689788,0.023883834109183155,,38631,1.4509295774647888,-0.0020665960579679954,,35283,1.4793090436459688,-0.08666614894773628,,35924,1.3767149536291867,0.01816738939432594,,38311,1.330612670186163,0.06644583008573646,,41756,1.3480113636363635,0.08992195453003049,,,,
Bizkaia,31099,1.1984200385356454,0.03501181482344329,,31944,1.199774647887324,0.02717129168140464,,28583,1.198398390004612,-0.10521537690959182,,31265,1.1981681612631256,0.09383199804079356,,35630,1.2374965268130036,0.139612985766832,,38250,1.2348269628099173,0.07353353915239969,,,,
Gipuzkoa,32913,1.2683236994219653,0.02417849141150108,,33900,1.2732394366197184,0.029988150578798667,,30179,1.265313823319777,-0.10976401179940998,,34099,1.3067755039472675,0.12989164650916196,,36374,1.2633370380661295,0.06671749904689284,,39037,1.260233729338843,0.07321163468411496,,,,
"RIOJA, LA",27470,1.0585741811175338,0.033289448937370736,,28040,1.0531455399061034,0.02074990899162721,,25654,1.075594314703786,-0.08509272467902995,,27365,1.0487085153675175,0.06669525220238559,,30433,1.0569949986107252,0.11211401425178158,,32412,1.04635847107438,0.06502809450267799,,34125,1.0457205895872277,0.052850796001481015
CEUTA,18923,0.7292100192678227,0.03619537838133824,,19577,0.7352863849765259,0.034561116102098,,18184,0.7623998993752883,-0.07115492669969858,,19661,0.7534682302445006,0.08122525296964356,,21273,0.7388510697415949,0.08198972585321185,,22413,0.7235601756198347,0.05358905655055701,,23070,0.7069530843011675,0.029313344933743712
MELILLA,17531,0.6755684007707129,0.028150841592868403,,18073,0.6787981220657276,0.03091666191318243,,16776,0.7033667351473732,-0.0717645105959166,,17891,0.6856365447995708,0.06646399618502619,,19433,0.6749444290080578,0.08618858644010952,,20454,0.6603176652892562,0.05253949467400809,,21118,0.647136334385438,0.03246308790456642
Total Nacional,25950,1,0.031563046589282884,,26625,1,0.026011560693641522,,23851,1,-0.10418779342723006,,26094,1,0.0940421785250094,,28792,1,0.10339541657085927,,30976,1,0.07585440400111132,,32633,1,0.05349302685950419
,,,,,,,,,,,,,,,,,,,,,,,,,,,
(P) Estimación provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,
(A) Estimación avance,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- Para el cálculo del PIB per cápita y como consecuencia del acuerdo entre los Estados miembros de la UE y Eurostat, el valor del PIB de la  Extra-Regio no se reparte entre el resto de los terrritorios regionales.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Cifra de Población a 1 de Julio. Fuente: Estadística Continua de Población. Unidades: Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Volver a Índice,,,,,,,,,,,,,,,,,,,,,,,,,,,
