freq,unit,sector,na_item,geo,valor,estado,anyo
A,MIO_EUR,S13,D5REC,PT,20864.9,,2019
A,MIO_EUR,S13,D5REC,PT,20092.6,,2020
A,MIO_EUR,S13,D5REC,PT,20784.4,,2021
A,MIO_EUR,S13,D5REC,PT,25693.1,,2022
A,MIO_EUR,S13,D5REC,PT,28599.1,,2023
A,MIO_EUR,S13,D5REC,PT,29486.2,,2024
A,MIO_EUR,S13,D61REC,DE,572583.0,,2018
A,MIO_EUR,S13,D61REC,DE,598227.0,,2019
A,MIO_EUR,S13,D61REC,DE,608093.0,,2020
A,MIO_EUR,S13,D61REC,DE,632317.0,,2021
A,MIO_EUR,S13,D61REC,DE,667261.0,,2022
A,MIO_EUR,S13,D61REC,DE,710828.0,,2023
A,MIO_EUR,S13,D61REC,DE,756551.0,,2024
A,MIO_EUR,S13,D61REC,ES,149450.0,,2018
A,MIO_EUR,S13,D61REC,ES,160656.0,,2019
A,MIO_EUR,S13,D61REC,ES,162174.0,,2020
A,MIO_EUR,S13,D61REC,ES,171687.0,,2021
A,MIO_EUR,S13,D61REC,ES,180086.0,,2022
A,MIO_EUR,S13,D61REC,ES,197003.0,,2023
A,MIO_EUR,S13,D61REC,ES,210337.0,,2024
A,MIO_EUR,S13,D61REC,EU27_2020,1933037.0,,2018
A,MIO_EUR,S13,D61REC,EU27_2020,1986064.3,,2019
A,MIO_EUR,S13,D61REC,EU27_2020,1967716.7,,2020
A,MIO_EUR,S13,D61REC,EU27_2020,2082134.7,,2021
A,MIO_EUR,S13,D61REC,EU27_2020,2213313.5,,2022
A,MIO_EUR,S13,D61REC,EU27_2020,2365158.0,,2023
A,MIO_EUR,S13,D61REC,EU27_2020,2518147.0,,2024
A,MIO_EUR,S13,D61REC,FR,422987.3,,2018
A,MIO_EUR,S13,D61REC,FR,406074.0,,2019
A,MIO_EUR,S13,D61REC,FR,390712.0,,2020
A,MIO_EUR,S13,D61REC,FR,417675.0,,2021
A,MIO_EUR,S13,D61REC,FR,442269.0,,2022
A,MIO_EUR,S13,D61REC,FR,462828.0,,2023
A,MIO_EUR,S13,D61REC,FR,483631.0,,2024
A,MIO_EUR,S13,D61REC,IT,234142.0,,2018
A,MIO_EUR,S13,D61REC,IT,242020.0,,2019
A,MIO_EUR,S13,D61REC,IT,230337.0,,2020
A,MIO_EUR,S13,D61REC,IT,247577.0,,2021
A,MIO_EUR,S13,D61REC,IT,260263.0,,2022
A,MIO_EUR,S13,D61REC,IT,268180.0,,2023
A,MIO_EUR,S13,D61REC,IT,278140.0,,2024
A,MIO_EUR,S13,D61REC,PT,23859.5,,2018
A,MIO_EUR,S13,D61REC,PT,25359.7,,2019
A,MIO_EUR,S13,D61REC,PT,25599.4,,2020
A,MIO_EUR,S13,D61REC,PT,27333.7,,2021
A,MIO_EUR,S13,D61REC,PT,29685.2,,2022
A,MIO_EUR,S13,D61REC,PT,32814.6,,2023
A,MIO_EUR,S13,D61REC,PT,35882.5,,2024
A,MIO_EUR,S13,D62PAY,DE,523248.0,,2018
