Provincias;Tipología penal;Sexo;periodo;Total
Total Nacional;3.1.-Agresión sexual;Masculino;2019;1.490
Total Nacional;3.1.-Agresión sexual;Masculino;2018;1.304
Total Nacional;3.1.-Agresión sexual;Femenino;2024;141
Total Nacional;3.1.-Agresión sexual;Femenino;2023;161
Total Nacional;3.1.-Agresión sexual;Femenino;2022;101
Total Nacional;3.1.-Agresión sexual;Femenino;2021;25
Total Nacional;3.1.-Agresión sexual;Femenino;2020;25
Total Nacional;3.1.-Agresión sexual;Femenino;2019;19
Total Nacional;3.1.-Agresión sexual;Femenino;2018;16
Total Nacional;3.1.-Agresión sexual;Ambos sexos;2024;3.591
Total Nacional;3.1.-Agresión sexual;Ambos sexos;2023;3.125
Total Nacional;3.1.-Agresión sexual;Ambos sexos;2022;2.618
Total Nacional;3.1.-Agresión sexual;Ambos sexos;2021;2.188
Total Nacional;3.1.-Agresión sexual;Ambos sexos;2020;1.520
Total Nacional;3.1.-Agresión sexual;Ambos sexos;2019;1.509
Total Nacional;3.1.-Agresión sexual;Ambos sexos;2018;1.320
Total Nacional;3.2.-Agresión sexual con penetración;Masculino;2024;1.273
Total Nacional;3.2.-Agresión sexual con penetración;Masculino;2023;1.277
Total Nacional;3.2.-Agresión sexual con penetración;Masculino;2022;1.034
Total Nacional;3.2.-Agresión sexual con penetración;Masculino;2021;920
Total Nacional;3.2.-Agresión sexual con penetración;Masculino;2020;691
Total Nacional;3.2.-Agresión sexual con penetración;Masculino;2019;553
Total Nacional;3.2.-Agresión sexual con penetración;Masculino;2018;506
Total Nacional;3.2.-Agresión sexual con penetración;Femenino;2024;80
Total Nacional;3.2.-Agresión sexual con penetración;Femenino;2023;49
Total Nacional;3.2.-Agresión sexual con penetración;Femenino;2022;28
Total Nacional;3.2.-Agresión sexual con penetración;Femenino;2021;19
Total Nacional;3.2.-Agresión sexual con penetración;Femenino;2020;12
Total Nacional;3.2.-Agresión sexual con penetración;Femenino;2019;4
Total Nacional;3.2.-Agresión sexual con penetración;Femenino;2018;10
Total Nacional;3.2.-Agresión sexual con penetración;Ambos sexos;2024;1.353
Total Nacional;3.2.-Agresión sexual con penetración;Ambos sexos;2023;1.326
Total Nacional;3.2.-Agresión sexual con penetración;Ambos sexos;2022;1.062
Total Nacional;3.2.-Agresión sexual con penetración;Ambos sexos;2021;939
Total Nacional;3.2.-Agresión sexual con penetración;Ambos sexos;2020;703
Total Nacional;3.2.-Agresión sexual con penetración;Ambos sexos;2019;557
Total Nacional;3.2.-Agresión sexual con penetración;Ambos sexos;2018;516
Total Nacional;3.3.-Corrupción de menores o incapacitados;Masculino;2024;33
Total Nacional;3.3.-Corrupción de menores o incapacitados;Masculino;2023;31
Total Nacional;3.3.-Corrupción de menores o incapacitados;Masculino;2022;43
Total Nacional;3.3.-Corrupción de menores o incapacitados;Masculino;2021;45
